measure,human_value,source,source_measure,comparability,note,group,value,verdict
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,human,0.929,
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,surrogate-cautious,0.21333333333333335,below human
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,surrogate-conformist,0.14,below human
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,surrogate-cost-averse,0.02666666666666667,below human
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,surrogate-defiant,0.28,below human
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,all models,0.165,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,human,1.66,
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,surrogate-cautious,0.08253094910591471,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,surrogate-conformist,0.0626865671641791,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,surrogate-cost-averse,0.00697350069735007,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,surrogate-defiant,0.1459227467811159,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,all models,0.07429790259509421,below human
