measure,human_value,source,source_measure,comparability,note,group,value,verdict
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,human,0.929,
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,surrogate-cautious,0.181,below human
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,surrogate-conformist,0.127,below human
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,surrogate-cost-averse,0.009,below human
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,surrogate-defiant,0.292,below human
sanction_adoption,0.929,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1","share choosing the sanctioning institution, final periods",ordering_only,both measure take-up of costly enforcement when it is optional,all models,0.15225,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,human,1.66,
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,surrogate-cautious,0.0891812865497076,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,surrogate-conformist,0.04068015497201894,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,surrogate-cost-averse,0.0018341145302628898,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,surrogate-defiant,0.17990495587236932,below human
punish_reward_ratio,1.66,"Gurerk, Irlenbusch & Rockenbach (2006), via SanctSim Table 1",ratio of punishments to rewards,ordering_only,SanctSim's finding is that LLMs invert this -- they reward rather than punish. Whether the same inversion appears here is the test.,all models,0.07569296375266525,below human
